"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
2500,2672.8621580676,3075.56668651558,3639.14822647805,3775.30050761601,3720.27985946654,4357.40031747552,4825.40334499801,5628.498732387,5958.75820849467,5661.22173049244,5892.75101812658,6957.57408614812,6660.53562588624,6557.74693567991,5888.38584604595,6575.91554742295,7211.58002475681,7101.71950407918,8255.26719373544,10967.4785773609,11740.6194280305,8531.10355040892,8582.35625952952,8881.462639642
92000,108274.291089081,139389.619217036,152663.041553347,173386.783201363,150900.864378492,153190.615465498,173121.394071776,159827.474285021,168129.37010137,233354.393300962,216820.777382345,209637.228334926,152483.736270155,152429.039265528,153092.208619976,201112.64476489,164491.584776199,143696.387376986,151136.97371385,170731.687291423,193679.122443154,177053.313287403,201033.471555758,216655.390737705
