"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
50,437.065888872719,344.909797721639,292.311518829833,444.640445178525,751.518919895273,1223.34632248444,748.631611846177,1765.65453867485,1072.83279847594,1628.82130295438,1914.09258244384,3514.884633952,2967.28077778569,5017.02485449917,4504.09122269708,5933.41582275922,4367.15806703855,8355.40541174266,9736.55403056727,8450.7921153855,12348.5120277802,6364.30451884289,9836.18037689829,12832.8336377123,14199.4709430131,9965.40844407761,14941.9112882836,12906.3565201485,16752.5401082875,7876.87257221359,26737.7475306757,21560.6099075415,15546.7598041643,14970.543115865,20849.2822680504,20957.557711499,25195.8801784834,22752.0554430727,11756.4100008171,25914.6888467831,23386.6974934807,26529.5724469843,14127.3210407031,14792.8145717433,24633.9565225489,14554.4754469379,19826.4652558609,15205.2791219479,18544.0912640427,12299.9375276352,24650.1867564953,12325.5530174999,14060.1492800403,23096.1487664934,20788.851635647,25681.1392582609,8607.83225148322,17334.4222553847,25811.0142805116,15281.2963809965,11878.0040087358,28183.1855207323,9874.25352644068,26511.1955664578,14429.8575699291,17914.4737866884,19219.2417550263,23407.9676055218,13011.3105100506,22646.6688346943,18454.9809924363,9693.91927373879,32531.6552383697,13825.1469476818,14854.3624945121,15574.3125305197,33338.7044870631,21129.2488191238,12132.1378199097,24906.2775038147,19156.1391143731,22054.1194022434,19155.896872509,20196.4041936322,13692.8167306925,23702.1930927392,17049.0911741874,24372.4108474485,7563.29185096755,18729.0496226742,25681.5443294276,19778.8303887441,16295.4868477285,12804.8927290769,22726.3613606356,21184.2451088578,19976.1503472225,27525.7120348058,17496.4427821583,10815.1429822509,21044.9226493006,27690.2057941583,14235.1434726098,22437.2535968393,13424.7918029986,26775.7430009821,8606.11248457621,20280.0463231596,14171.0490312074,27161.9100330918,16785.7713073272,22893.0512751419,15644.1379294123,25502.959157368,13723.024077008,14938.1239132356,25030.4247659672,14625.5731791342,15434.4508653704,33580.8822439112,29580.1572887565,12018.1747805226,14608.7060634026,26078.8877445566,18547.6071637761,22496.0989008441,14974.1511054666,23300.6064501518,16776.7614137423,11307.9291549735,31981.2665214766,12500.0550680369,14185.5283386922,21341.6722094392,15476.3142262323,26252.1652817274,9429.07015370112,23909.809727729,14244.62736578,20124.7807535504,24503.2703345622,9632.53884805521,31953.7815298561,12482.2242877483,19750.8122920088,14252.0839910344,18317.5606787378,6585.89992342034,19119.5241183497,14168.5796068384,29860.1028458266,10032.7212338951,14347.6948148422,33262.1716331442,10266.7470112569,16093.4800374732,19572.0629638289,19832.5173833534,18944.0208490264,19562.8743440348,27056.2777501635,9153.19207657668,21532.8432469225,22369.4746208809,8719.13985423917,15107.8912995627,32012.8158554252,14447.6746462457,22409.2889992867,11167.2831266524,21970.7977139537,15881.2451931053,13155.2118167481,17359.6086433323,18705.6088197046,27238.9355588247,10008.803523788,18394.6300110943,17921.6538345079,20435.6412089647,22930.2374186085,31383.5907250752,9525.80661117873,16759.2997878882,17133.5948373602,24200.4160341921,11760.9659800608,20695.3142057858,19384.5120858979,23524.9457338517,14404.1450203513,13019.3734102856,20743.408094569,18062.1237894142,18266.6988701772,11355.0005654311,17501.6832224833,23248.9417750035,17514.5924974945
20,25,218.532944436359,172.45489886082,146.155759414917,222.320222589263,375.759459947636,611.673161242221,374.315805923088,882.827269337425,536.416399237972,814.41065147719,957.046291221918,1757.442316976,1483.64038889284,2508.51242724958,2252.04561134854,2966.70791137961,2183.57903351928,4177.70270587133,4868.27701528363,4225.39605769275,6174.2560138901,3182.15225942144,4918.09018844914,6416.41681885617,7099.73547150654,4982.70422203881,7470.95564414181,6453.17826007427,8376.27005414373,3938.43628610679,13368.8737653379,10780.3049537708,7773.37990208214,7485.27155793249,10424.6411340252,10478.7788557495,12597.9400892417,11376.0277215364,5878.20500040854,12957.3444233916,11693.3487467404,13264.7862234922,7063.66052035157,7396.40728587165,12316.9782612745,7277.23772346897,9913.23262793044,7602.63956097397,9272.04563202134,6149.96876381759,12325.0933782477,6162.77650874993,7030.07464002017,11548.0743832467,10394.4258178235,12840.5696291305,4303.91612574161,8667.21112769237,12905.5071402558,7640.64819049824,5939.00200436792,14091.5927603662,4937.12676322034,13255.5977832289,7214.92878496456,8957.2368933442,9609.62087751317,11703.9838027609,6505.65525502531,11323.3344173471,9227.49049621814,4846.9596368694,16265.8276191848,6912.57347384089,7427.18124725606,7787.15626525987,16669.3522435316,10564.6244095619,6066.06890995487,12453.1387519073,9578.06955718654,11027.0597011217,9577.9484362545,10098.2020968161,6846.40836534627,11851.0965463696,8524.54558709368,12186.2054237243,3781.64592548377,9364.52481133708,12840.7721647138,9889.41519437206,8147.74342386423,6402.44636453847,11363.1806803178,10592.1225544289,9988.07517361123,13762.8560174029,8748.22139107915,5407.57149112547,10522.4613246503,13845.1028970792,7117.5717363049,11218.6267984197,6712.39590149932,13387.8715004911,4303.0562422881,10140.0231615798,7085.5245156037,13580.9550165459,8392.88565366359,11446.525637571,7822.06896470613,12751.479578684,6861.51203850402,7469.06195661779,12515.2123829836,7312.78658956711,7717.22543268518,16790.4411219556,14790.0786443783,6009.08739026129,7304.3530317013,13039.4438722783,9273.80358188805,11248.0494504221,7487.07555273331,11650.3032250759,8388.38070687113,5653.96457748673,15990.6332607383,6250.02753401844,7092.76416934612,10670.8361047196,7738.15711311614,13126.0826408637,4714.53507685056,11954.9048638645,7122.31368288998,10062.3903767752,12251.6351672811,4816.26942402761,15976.8907649281,6241.11214387414,9875.40614600438,7126.04199551718,9158.78033936889,3292.94996171017,9559.76205917486,7084.28980341922,14930.0514229133,5016.36061694756,7173.84740742108,16631.0858165721,5133.37350562844,8046.74001873662,9786.03148191446,9916.25869167668,9472.01042451321,9781.43717201738,13528.1388750817,4576.59603828834,10766.4216234613,11184.7373104405,4359.56992711959,7553.94564978133,16006.4079277126,7223.83732312286,11204.6444996434,5583.64156332622,10985.3988569769,7940.62259655267,6577.60590837403,8679.80432166617,9352.80440985228,13619.4677794123,5004.40176189398,9197.31500554716,8960.82691725393,10217.8206044824,11465.1187093043,15691.7953625376,4762.90330558937,8379.64989394411,8566.79741868011,12100.2080170961,5880.48299003039,10347.6571028929,9692.25604294893,11762.4728669258,7202.07251017565,6509.68670514279,10371.7040472845,9031.06189470708,9133.34943508859,5677.50028271555,8750.84161124163,11624.4708875017
40,8,10,87.4131777745438,68.9819595443279,58.4623037659666,88.9280890357051,150.303783979055,244.669264496888,149.726322369235,353.13090773497,214.566559695189,325.764260590876,382.818516488767,702.976926790399,593.456155557138,1003.40497089983,900.818244539415,1186.68316455184,873.43161340771,1671.08108234853,1947.31080611345,1690.1584230771,2469.70240555604,1272.86090376858,1967.23607537966,2566.56672754247,2839.89418860262,1993.08168881552,2988.38225765672,2581.27130402971,3350.50802165749,1575.37451444272,5347.54950613514,4312.12198150831,3109.35196083286,2994.108623173,4169.85645361007,4191.5115422998,5039.17603569669,4550.41108861455,2351.28200016342,5182.93776935662,4677.33949869614,5305.91448939687,2825.46420814063,2958.56291434866,4926.79130450979,2910.89508938759,3965.29305117218,3041.05582438959,3708.81825280854,2459.98750552704,4930.03735129906,2465.11060349997,2812.02985600807,4619.22975329867,4157.7703271294,5136.22785165219,1721.56645029664,3466.88445107695,5162.20285610232,3056.2592761993,2375.60080174717,5636.63710414647,1974.85070528814,5302.23911329156,2885.97151398582,3582.89475733768,3843.84835100527,4681.59352110435,2602.26210201013,4529.33376693886,3690.99619848726,1938.78385474776,6506.33104767394,2765.02938953636,2970.87249890242,3114.86250610395,6667.74089741262,4225.84976382476,2426.42756398195,4981.25550076293,3831.22782287461,4410.82388044868,3831.1793745018,4039.28083872643,2738.56334613851,4740.43861854784,3409.81823483747,4874.4821694897,1512.65837019351,3745.80992453483,5136.30886588551,3955.76607774882,3259.09736954569,2560.97854581539,4545.27227212711,4236.84902177156,3995.23006944449,5505.14240696116,3499.28855643166,2163.02859645019,4208.98452986013,5538.04115883167,2847.02869452196,4487.45071936787,2684.95836059973,5355.14860019643,1721.22249691524,4056.00926463192,2834.20980624148,5432.38200661837,3357.15426146544,4578.61025502838,3128.82758588245,5100.5918314736,2744.60481540161,2987.62478264712,5006.08495319344,2925.11463582684,3086.89017307407,6716.17644878223,5916.03145775131,2403.63495610452,2921.74121268052,5215.77754891131,3709.52143275522,4499.21978016883,2994.83022109332,4660.12129003036,3355.35228274845,2261.58583099469,6396.25330429533,2500.01101360738,2837.10566773845,4268.33444188784,3095.26284524646,5250.43305634547,1885.81403074022,4781.9619455458,2848.92547315599,4024.95615071008,4900.65406691245,1926.50776961104,6390.75630597123,2496.44485754966,3950.16245840175,2850.41679820687,3663.51213574755,1317.17998468407,3823.90482366994,2833.71592136769,5972.02056916532,2006.54424677902,2869.53896296843,6652.43432662883,2053.34940225138,3218.69600749465,3914.41259276579,3966.50347667067,3788.80416980528,3912.57486880695,5411.2555500327,1830.63841531534,4306.5686493845,4473.89492417618,1743.82797084783,3021.57825991253,6402.56317108503,2889.53492924915,4481.85779985734,2233.45662533049,4394.15954279075,3176.24903862107,2631.04236334961,3471.92172866647,3741.12176394091,5447.78711176494,2001.76070475759,3678.92600221886,3584.33076690157,4087.12824179294,4586.04748372171,6276.71814501503,1905.16132223575,3351.85995757764,3426.71896747204,4840.08320683842,2352.19319601216,4139.06284115717,3876.90241717957,4704.98914677033,2880.82900407026,2603.87468205712,4148.6816189138,3612.42475788283,3653.33977403544,2271.00011308622,3500.33664449665
50,50,34,25.4,58.9465888872719,69.8589331045271,71.1465117456995,87.1519515652723,127.443062928691,198.800470005658,194.143443188013,293.051519780293,283.11419171577,332.7506453249,391.059645439324,586.124250658794,648.402628173845,890.744062354224,984.855559682242,1184.25491808527,1147.26875755502,1523.90179570728,1887.99648048109,1977.87709982721,2421.57746267434,2089.37692948889,2237.24419538317,2625.62988100113,2995.32502290199,2793.73585814895,3170.43264371774,3192.8952382455,3590.99115377604,2942.28194948698,4439.14392275976,4819.54734441001,4446.40438706243,4164.89694382396,4583.86639309941,4846.07560700955,5427.23338205407,5531.54557353972,4494.56834420554,5288.20989120163,5511.59568406905,5959.91465513986,4988.68089715423,4472.48999546687,5146.88964953502,4543.5813344148,4708.79532623497,4345.80510793578,4461.89219116573,3907.12906746296,4809.29611612731,4118.13297142637,3876.89471085985,4635.75170316525,4860.33618546385,5484.31563710441,4151.37260741097,4224.26578998505,5115.66090204219,4597.52617932496,3946.31610846856,5186.10821715437,4099.09028293669,5110.5737264078,4509.32999283759,4497.04537437139,4620.15140012547,5112.88760062746,4368.86361138154,4885.98505029835,4777.08912942264,3835.64540502746,5554.55276685345,4715.24635488025,4314.58406237936,4146.18169047959,5821.57946299406,5605.87255970882,4576.73731781627,5236.67014107122,5057.61599608004,5239.98153787237,5059.57860997432,5055.38758534781,4402.51422427794,5011.72784384068,4711.94582372315,5264.40857897874,3914.974332484,4221.88956175781,5101.28816999744,5038.65594087288,4652.74224929657,4072.13462248564,4715.91690955494,4947.97465661874,4966.39982869349,5732.41110069667,5189.09093863383,4194.96886140539,4621.4735817733,5541.90472847981,4748.65718434887,5092.91967029325,4398.23098247582,5316.5128895837,4050.51898220784,4458.31602164066,4092.09451610514,5171.44771297227,4781.44575851608,5158.17258262384,4659.31734251553,5345.88632124612,4579.83420044848,4241.71291159264,5048.07022355231,4491.39945204481,4238.28475776392,5901.05907904947,6498.65117630533,5101.00818383546,4521.47551664154,5320.77408444058,5047.22516704196,5277.94499030959,4664.18210473241,5128.56990785463,4754.818086087,3983.68376714955,5588.33691243739,4603.00765426612,4180.3574264289,4642.38167680126,4333.06042870398,5225.05278539513,4077.93868660719,4837.74418473721,4327.10924742032,4608.74362380723,5215.57320774056,4092.59780944986,5650.93683865553,4638.78453196815,4758.35194838176,4280.21956813249,4399.88780875327,3298.522677594,3891.06601839137,3751.49757171867,5236.90882761386,4145.41741995783,3922.01993345891,5679.42912338976,4434.33217515954,4269.94730884305,4519.17468168872,4694.75654734857,4711.25601331178,4783.04104239055,5575.45240045068,4260.59064792807,4709.6387134491,5062.73069015755,3909.55239951845,3856.52056966733,5515.19392734292,4753.88382103032,5093.25919254686,4172.68382819336,4700.69006831139,4408.53856029737,3960.64431785323,4112.34745504517,4337.96935499756,5326.675168881,4196.8854537074,4357.59427333387,4406.72194745111,4687.59728936714,5105.58211548114,6201.7083417962,4673.60566619559,4480.09337850618,4401.41551083973,5060.89090992305,4212.63114395991,4597.11010695453,4696.7172727625,5170.52493704267,4542.72946426073,4027.575019585,4490.8858212079,4500.74387166616,4527.11621001741,3851.76978255356
