"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
50000,53457.2431613521,61511.3337303117,72782.9645295609,75506.0101523203,74405.5971893307,87148.0063495104,96508.0668999602,112569.97464774,119175.164169893,113224.434609849,117855.020362532,139151.481722962,133210.712517725,131154.938713598,117767.716920919,131518.310948459,144231.600495136,142034.390081584,165105.343874709,219349.571547218,234812.388560609,170622.071008178,171647.12519059,177629.25279284
230000,270685.727722703,348474.048042589,381657.603883367,433466.958003408,377252.160946231,382976.538663745,432803.485179439,399568.685712552,420323.425253425,583385.983252404,542051.943455862,524093.070837316,381209.340675388,381072.598163821,382730.521549941,502781.611912225,411228.961940497,359240.968442464,377842.434284626,426829.218228559,484197.806107886,442633.283218507,502583.678889394,541638.476844262
