"","Year 1","Year 2","Year 3","Year 4","Year 5","Year 6","Year 7","Year 8","Year 9","Year 10","Year 11","Year 12","Year 13","Year 14","Year 15","Year 16","Year 17","Year 18","Year 19","Year 20","Year 21","Year 22","Year 23","Year 24","Year 25","Year 26","Year 27","Year 28","Year 29","Year 30","Year 31","Year 32","Year 33","Year 34","Year 35","Year 36","Year 37","Year 38","Year 39","Year 40"
"Age-1",88,659,508,696,699,610,694,673,1051,1038,837,1270,1197,1042,787,1179,561,808,728,515,474,423,380,396,542,285,256,271,201,270,258,348,286,403,340,579,415,961,738,834
"Age-2",94,41,176,179,130,182,162,303,302,260,267,230,294,404,354,291,348,314,175,140,177,152,167,107,154,110,98,112,87,73,66,66,71,96,139,130,136,133,155,192
"Age-3",134,54,19,86,101,78,112,123,139,119,102,129,152,143,157,148,176,149,91,105,83,102,87,87,58,54,45,44,51,37,38,42,50,24,76,44,51,88,84,115
"Age-4",99,122,177,205,175,193,264,264,362,321,584,372,436,631,514,179,135,67,123,72,73,61,57,40,33,35,25,36,32,23,25,55,82,113,76,91,168,200,187,210
